OPERA,MES,TIPOVUELO,SIGLADES,DIANOM,atraso_15
Aerolineas Argentinas,1,I,Buenos Aires,Domingo,1
Grupo LATAM,11,N,Iquique,Domingo,0
Grupo LATAM,8,N,Iquique,Domingo,0
Grupo LATAM,12,I,Lima,Domingo,0
Grupo LATAM,6,I,Miami,Viernes,0
Avianca,11,I,Lima,Sabado,0
Sky Airline,10,N,Arica,Viernes,1
Grupo LATAM,4,I,Nueva York,Viernes,0
Sky Airline,12,N,Iquique,Viernes,0
Iberia,1,I,Madrid,Martes,0
Grupo LATAM,12,I,Cordoba,Miercoles,0
Grupo LATAM,9,N,Puerto Montt,Viernes,0
Grupo LATAM,5,I,Auckland N.Z.,Sabado,0
Grupo LATAM,4,N,Punta Arenas,Miercoles,1
Grupo LATAM,1,N,Iquique,Domingo,0
JetSmart SPA,8,N,La Serena,Martes,0
Grupo LATAM,11,N,Antofagasta,Viernes,1
Grupo LATAM,12,N,Antofagasta,Viernes,1
Grupo LATAM,12,N,Puerto Montt,Domingo,0
Grupo LATAM,2,N,Antofagasta,Lunes,0
Grupo LATAM,6,I,Buenos Aires,Jueves,1
Grupo LATAM,5,N,Copiapo,Martes,0
Iberia,4,I,Madrid,Sabado,0
Grupo LATAM,1,N,Concepcion,Domingo,0
Grupo LATAM,8,N,Calama,Miercoles,0
Grupo LATAM,12,N,Antofagasta,Lunes,0
Grupo LATAM,4,N,Calama,Martes,0
Grupo LATAM,10,I,Rosario,Lunes,1
Sky Airline,5,I,Buenos Aires,Jueves,1
JetSmart SPA,9,N,Calama,Domingo,0
Grupo LATAM,6,I,Buenos Aires,Miercoles,0
Latin American Wings,11,I,Mendoza,Lunes,0
Gol Trans,11,I,Sao Paulo,Martes,1
Grupo LATAM,7,N,Puerto Montt,Miercoles,0
Grupo LATAM,10,N,Calama,Miercoles,0
Gol Trans,9,I,Rio de Janeiro,Viernes,0
Sky Airline,7,N,Temuco,Domingo,0
Grupo LATAM,4,N,Antofagasta,Sabado,0
Sky Airline,7,N,Calama,Miercoles,0
Grupo LATAM,11,I,Sao Paulo,Viernes,0
Grupo LATAM,3,N,Puerto Montt,Domingo,0
Grupo LATAM,2,I,Buenos Aires,Sabado,0
Sky Airline,2,I,Lima,Martes,0
Gol Trans,4,I,Sao Paulo,Viernes,1
Grupo LATAM,3,N,Calama,Jueves,0
JetSmart SPA,12,N,Puerto Montt,Martes,0
Grupo LATAM,12,I,Rio de Janeiro,Domingo,1
Grupo LATAM,12,N,Antofagasta,Miercoles,0
Grupo LATAM,8,N,Iquique,Lunes,0
Grupo LATAM,7,N,Iquique,Sabado,0
Grupo LATAM,2,N,Antofagasta,Viernes,0
Grupo LATAM,10,N,Osorno,Martes,0
Sky Airline,10,N,Calama,Sabado,0
Grupo LATAM,4,I,Buenos Aires,Sabado,0
Sky Airline,12,N,Copiapo,Jueves,0
Grupo LATAM,2,I,Buenos Aires,Domingo,0
Sky Airline,1,I,Lima,Viernes,0
Sky Airline,2,N,Puerto Montt,Martes,0
Sky Airline,12,I,Lima,Viernes,1
Sky Airline,1,N,Arica,Domingo,0
Grupo LATAM,2,I,Miami,Sabado,0
Grupo LATAM,8,I,Montevideo,Martes,0
Grupo LATAM,4,N,La Serena,Lunes,0
Latin American Wings,12,I,Lima,Sabado,0
British Airways,2,I,Londres,Jueves,0
Grupo LATAM,3,N,Calama,Lunes,0
Grupo LATAM,4,N,Antofagasta,Jueves,0
Grupo LATAM,12,N,Concepcion,Viernes,0
Grupo LATAM,12,I,Bogota,Lunes,0
Grupo LATAM,12,I,Nueva York,Lunes,0
Grupo LATAM,2,I,Buenos Aires,Lunes,0
Aerolineas Argentinas,9,I,Buenos Aires,Domingo,1
Latin American Wings,8,N,Concepcion,Martes,0
Grupo LATAM,1,N,Punta Arenas,Sabado,0
Grupo LATAM,7,I,Buenos Aires,Martes,0
Grupo LATAM,10,N,Castro (Chiloe),Viernes,0
Grupo LATAM,2,I,Madrid,Miercoles,1
Grupo LATAM,5,I,Buenos Aires,Viernes,0
Sky Airline,9,N,Calama,Martes,0
Grupo LATAM,9,N,Temuco,Lunes,1
Aerolineas Argentinas,9,I,Buenos Aires,Miercoles,1
Grupo LATAM,2,I,Sao Paulo,Lunes,0
Gol Trans,7,I,Sao Paulo,Jueves,0
Grupo LATAM,10,N,Copiapo,Jueves,1
Grupo LATAM,5,I,Buenos Aires,Lunes,0
Copa Air,3,I,Ciudad de Panama,Miercoles,0
Grupo LATAM,11,N,Punta Arenas,Martes,0
Grupo LATAM,11,N,Calama,Miercoles,0
Grupo LATAM,5,N,Antofagasta,Viernes,1
Grupo LATAM,6,I,Lima,Lunes,0
Grupo LATAM,4,N,Antofagasta,Lunes,0
Grupo LATAM,4,N,Antofagasta,Lunes,0
Grupo LATAM,7,I,Santa Cruz,Sabado,0
Grupo LATAM,3,I,Sao Paulo,Sabado,0
Sky Airline,6,N,Iquique,Jueves,0
Grupo LATAM,1,N,Puerto Montt,Martes,0
Aerolineas Argentinas,5,I,Buenos Aires,Sabado,0
Sky Airline,10,N,Balmaceda,Lunes,0
Grupo LATAM,6,N,Puerto Montt,Jueves,0
Grupo LATAM,3,N,Copiapo,Sabado,0
Grupo LATAM,11,N,Calama,Lunes,0
Grupo LATAM,9,I,Buenos Aires,Lunes,0
Sky Airline,1,N,Copiapo,Lunes,0
Sky Airline,3,N,La Serena,Lunes,0
Grupo LATAM,7,N,Concepcion,Domingo,1
Grupo LATAM,9,N,Puerto Montt,Sabado,0
Grupo LATAM,1,N,Temuco,Sabado,0
Gol Trans,8,I,Sao Paulo,Domingo,1
Grupo LATAM,12,I,Ciudad de Mexico,Domingo,1
Grupo LATAM,10,I,Cordoba,Lunes,0
Grupo LATAM,11,N,Iquique,Viernes,0
Grupo LATAM,3,N,Concepcion,Domingo,0
Grupo LATAM,10,N,La Serena,Sabado,1
Grupo LATAM,3,I,Sao Paulo,Martes,0
Grupo LATAM,8,I,Sao Paulo,Martes,0
Grupo LATAM,5,I,Sao Paulo,Domingo,0
Aerolineas Argentinas,9,I,Buenos Aires,Jueves,0
Air Canada,3,I,Toronto,Domingo,0
Grupo LATAM,4,N,Concepcion,Viernes,0
Grupo LATAM,1,N,Iquique,Lunes,0
Sky Airline,4,N,Temuco,Lunes,0
Grupo LATAM,12,N,Puerto Montt,Jueves,0
Latin American Wings,10,I,Lima,Sabado,1
Grupo LATAM,6,I,Rio de Janeiro,Jueves,0
Grupo LATAM,2,I,Sao Paulo,Domingo,0
Grupo LATAM,3,N,Concepcion,Domingo,0
Grupo LATAM,12,I,Nueva York,Viernes,1
Sky Airline,3,I,Cordoba,Miercoles,1
Sky Airline,12,N,Arica,Martes,1
Sky Airline,3,I,Lima,Martes,0
Grupo LATAM,8,I,Lima,Viernes,0
Grupo LATAM,3,N,Antofagasta,Jueves,0
Grupo LATAM,8,N,Isla de Pascua,Lunes,0
Grupo LATAM,11,I,Sao Paulo,Sabado,0
Avianca,11,I,Lima,Miercoles,0
Grupo LATAM,6,I,Sao Paulo,Sabado,0
Grupo LATAM,9,I,Mendoza,Jueves,0
Grupo LATAM,12,N,Calama,Martes,0
Sky Airline,8,N,Temuco,Viernes,0
Latin American Wings,11,N,Antofagasta,Domingo,1
Grupo LATAM,6,I,Lima,Lunes,0
Grupo LATAM,10,I,"San Juan, Arg.",Viernes,1
Grupo LATAM,8,N,Puerto Montt,Miercoles,0
Grupo LATAM,10,I,Auckland N.Z.,Martes,1
Sky Airline,1,N,La Serena,Miercoles,0
Grupo LATAM,11,I,Mendoza,Miercoles,0
Grupo LATAM,4,N,Antofagasta,Viernes,0
Grupo LATAM,9,N,Copiapo,Lunes,0
Grupo LATAM,12,N,Antofagasta,Martes,1
Avianca,11,I,Bogota,Viernes,0
Grupo LATAM,4,I,La Paz,Jueves,0
Grupo LATAM,12,N,Antofagasta,Miercoles,0
Grupo LATAM,10,I,Buenos Aires,Sabado,1
Grupo LATAM,4,N,Iquique,Sabado,0
Grupo LATAM,3,N,Iquique,Jueves,0
Qantas Airways,10,I,Sydney,Martes,0
Grupo LATAM,3,N,Concepcion,Martes,0
Grupo LATAM,1,I,Florianapolis,Sabado,1
Grupo LATAM,8,I,Lima,Miercoles,0
Latin American Wings,2,I,Lima,Domingo,0
Grupo LATAM,6,I,Bogota,Domingo,0
Grupo LATAM,1,N,Punta Arenas,Martes,0
Sky Airline,5,N,Antofagasta,Domingo,0
Aerolineas Argentinas,1,I,Buenos Aires,Jueves,0
Grupo LATAM,7,N,Copiapo,Martes,0
Grupo LATAM,7,I,Guayaquil,Martes,0
Grupo LATAM,6,N,Antofagasta,Jueves,0
Grupo LATAM,4,N,Puerto Montt,Sabado,0
Grupo LATAM,4,N,Calama,Sabado,0
Latin American Wings,11,N,Concepcion,Lunes,1
Sky Airline,10,N,Balmaceda,Viernes,1
Grupo LATAM,9,N,Arica,Sabado,0
Grupo LATAM,12,N,Calama,Martes,0
Grupo LATAM,7,N,Antofagasta,Miercoles,0
Grupo LATAM,2,I,Rio de Janeiro,Viernes,0
Grupo LATAM,10,N,Antofagasta,Viernes,1
Grupo LATAM,7,N,Calama,Domingo,0
Grupo LATAM,11,N,La Serena,Sabado,0
Sky Airline,9,N,Temuco,Martes,0
Sky Airline,9,N,Concepcion,Jueves,0
Grupo LATAM,10,I,Lima,Miercoles,0
Latin American Wings,11,I,Lima,Miercoles,1
Sky Airline,6,I,Buenos Aires,Lunes,1
Grupo LATAM,4,N,Iquique,Lunes,0
Grupo LATAM,4,N,Temuco,Domingo,0
Grupo LATAM,12,N,Iquique,Martes,0
Grupo LATAM,9,N,Punta Arenas,Lunes,0
American Airlines,5,I,Miami,Sabado,0
Grupo LATAM,10,N,Puerto Montt,Lunes,1
Aerolineas Argentinas,12,I,Buenos Aires,Domingo,0
Grupo LATAM,4,I,Sao Paulo,Domingo,1
Copa Air,8,I,Ciudad de Panama,Viernes,0
Grupo LATAM,3,N,Concepcion,Martes,0
Grupo LATAM,1,I,Mendoza,Martes,1
Sky Airline,1,N,Valdivia,Domingo,0
British Airways,10,I,Londres,Martes,0
Sky Airline,10,N,Puerto Montt,Miercoles,0
Avianca,8,I,Lima,Sabado,1
Sky Airline,9,N,Concepcion,Miercoles,0
Grupo LATAM,10,N,Concepcion,Viernes,0
Grupo LATAM,7,N,Antofagasta,Miercoles,0
Copa Air,1,I,Ciudad de Panama,Lunes,0
Sky Airline,10,N,Copiapo,Miercoles,0
Sky Airline,10,I,Montevideo,Domingo,1
Sky Airline,10,N,La Serena,Viernes,1
Grupo LATAM,11,N,La Serena,Domingo,0
Grupo LATAM,9,N,Puerto Montt,Viernes,0
Grupo LATAM,11,N,Concepcion,Lunes,0
Latin American Wings,6,I,Lima,Jueves,0
Copa Air,10,I,Ciudad de Panama,Lunes,1
Grupo LATAM,3,I,Sao Paulo,Miercoles,0
Grupo LATAM,9,I,Cordoba,Jueves,1
Grupo LATAM,3,N,Temuco,Martes,0
Grupo LATAM,11,N,Concepcion,Miercoles,0
Sky Airline,12,N,La Serena,Lunes,1
Grupo LATAM,3,N,Antofagasta,Jueves,0
Sky Airline,10,N,Antofagasta,Miercoles,0
Grupo LATAM,11,N,Concepcion,Domingo,1
K.L.M.,3,I,Buenos Aires,Sabado,0
Sky Airline,5,I,Buenos Aires,Miercoles,0
Grupo LATAM,4,I,Buenos Aires,Domingo,0
Grupo LATAM,5,I,Lima,Martes,0
Grupo LATAM,1,I,Auckland N.Z.,Domingo,1
Sky Airline,5,N,Concepcion,Domingo,0
Grupo LATAM,1,N,Antofagasta,Martes,0
Grupo LATAM,1,I,Rio de Janeiro,Jueves,0
Grupo LATAM,9,N,Calama,Jueves,0
Sky Airline,6,N,Puerto Montt,Miercoles,0
British Airways,1,I,Londres,Sabado,1
Grupo LATAM,12,N,La Serena,Miercoles,0
Grupo LATAM,5,I,Guayaquil,Jueves,0
Grupo LATAM,12,I,Sao Paulo,Miercoles,1
Sky Airline,2,N,Puerto Natales,Domingo,0
Sky Airline,1,N,La Serena,Lunes,0
Grupo LATAM,3,I,Madrid,Martes,0
Copa Air,3,I,Ciudad de Panama,Martes,0
Grupo LATAM,11,I,Lima,Miercoles,0
Grupo LATAM,9,N,Iquique,Jueves,0
Sky Airline,10,N,Iquique,Domingo,1
Grupo LATAM,9,N,Calama,Martes,0
Avianca,1,I,Bogota,Lunes,0
Sky Airline,8,N,Valdivia,Viernes,0
Grupo LATAM,12,I,Buenos Aires,Domingo,0
Sky Airline,8,N,Puerto Montt,Lunes,0
Grupo LATAM,6,N,Concepcion,Viernes,0
Sky Airline,12,N,Calama,Lunes,0
Sky Airline,5,I,Buenos Aires,Martes,0
Sky Airline,5,N,Antofagasta,Jueves,0
Grupo LATAM,1,N,Balmaceda,Lunes,0
Sky Airline,1,N,Calama,Sabado,0
Avianca,5,I,Bogota,Jueves,0
Sky Airline,9,N,Iquique,Lunes,0
Grupo LATAM,5,N,Iquique,Sabado,0
Grupo LATAM,4,N,Puerto Montt,Viernes,0
Grupo LATAM,7,N,Iquique,Lunes,1
Grupo LATAM,4,I,Buenos Aires,Miercoles,0
Iberia,2,I,Madrid,Domingo,0
Grupo LATAM,11,I,Sao Paulo,Jueves,0
Grupo LATAM,6,N,La Serena,Lunes,0
Sky Airline,3,I,Montevideo,Martes,0
Sky Airline,12,N,Antofagasta,Viernes,1
Aerolineas Argentinas,4,I,Buenos Aires,Domingo,0
Grupo LATAM,2,N,Puerto Natales,Lunes,0
Grupo LATAM,1,N,Antofagasta,Lunes,0
Grupo LATAM,3,I,Auckland N.Z.,Domingo,1
Grupo LATAM,6,I,Cordoba,Jueves,0
Grupo LATAM,5,I,Bogota,Viernes,1
Sky Airline,8,N,Punta Arenas,Miercoles,0
Grupo LATAM,7,N,Antofagasta,Lunes,1
Grupo LATAM,5,N,Puerto Montt,Viernes,0
Grupo LATAM,2,I,Madrid,Martes,0
Grupo LATAM,3,N,La Serena,Miercoles,0
Sky Airline,2,N,Concepcion,Martes,0
Grupo LATAM,12,I,Miami,Martes,0
Sky Airline,4,N,Calama,Lunes,0
Sky Airline,10,N,Iquique,Viernes,0
Grupo LATAM,9,N,Copiapo,Domingo,0
Grupo LATAM,1,I,Lima,Lunes,1
Grupo LATAM,4,N,Isla de Pascua,Miercoles,0
Grupo LATAM,9,N,Iquique,Lunes,0
Grupo LATAM,4,I,Buenos Aires,Miercoles,0
Gol Trans,8,I,Sao Paulo,Jueves,0
Sky Airline,2,I,Buenos Aires,Miercoles,0
Aerolineas Argentinas,2,I,Buenos Aires,Lunes,0
Grupo LATAM,7,N,La Serena,Viernes,0
Avianca,11,I,Bogota,Viernes,0
Grupo LATAM,3,N,Iquique,Viernes,1
Aerolineas Argentinas,7,I,Buenos Aires,Jueves,1
Grupo LATAM,5,N,Calama,Lunes,0
Aerolineas Argentinas,12,I,Buenos Aires,Lunes,1
Grupo LATAM,3,I,Mendoza,Sabado,0
Grupo LATAM,8,N,Calama,Domingo,0
Grupo LATAM,11,N,Punta Arenas,Jueves,1
Grupo LATAM,3,N,Arica,Lunes,0
Grupo LATAM,2,N,Punta Arenas,Jueves,0
Grupo LATAM,7,N,Punta Arenas,Viernes,0
Grupo LATAM,2,N,Antofagasta,Martes,0
Grupo LATAM,4,I,Buenos Aires,Viernes,0
Grupo LATAM,2,I,Miami,Viernes,0
Grupo LATAM,5,N,Copiapo,Lunes,1
Grupo LATAM,6,I,Lima,Lunes,0
Grupo LATAM,12,I,Lima,Domingo,1
Grupo LATAM,3,I,Miami,Viernes,0
Grupo LATAM,4,N,Balmaceda,Domingo,0
Sky Airline,9,N,Antofagasta,Viernes,0
Grupo LATAM,11,N,Concepcion,Miercoles,0
Sky Airline,11,I,Lima,Lunes,1
Sky Airline,8,N,Calama,Jueves,0
Grupo LATAM,8,I,Ciudad de Mexico,Miercoles,0
Grupo LATAM,11,N,Calama,Sabado,0
Grupo LATAM,11,I,Rio de Janeiro,Lunes,0
Grupo LATAM,12,N,Antofagasta,Viernes,1
Grupo LATAM,4,N,Copiapo,Domingo,0
Grupo LATAM,1,I,Mendoza,Domingo,0
Grupo LATAM,10,N,Balmaceda,Viernes,0
Grupo LATAM,2,N,Calama,Jueves,0
Grupo LATAM,4,N,Antofagasta,Martes,0
Grupo LATAM,11,I,Buenos Aires,Miercoles,0
Latin American Wings,12,I,Lima,Miercoles,1
Grupo LATAM,2,N,Arica,Domingo,0
Grupo LATAM,12,N,Puerto Montt,Domingo,0
Sky Airline,7,I,Cordoba,Jueves,0
JetSmart SPA,12,N,Punta Arenas,Viernes,0
Grupo LATAM,4,N,Copiapo,Sabado,1
Sky Airline,7,I,Buenos Aires,Miercoles,1
Aerolineas Argentinas,4,I,Buenos Aires,Domingo,0
Grupo LATAM,7,N,Balmaceda,Domingo,0
Grupo LATAM,10,N,Concepcion,Lunes,0
Sky Airline,8,N,La Serena,Martes,0
Grupo LATAM,10,I,Sao Paulo,Martes,0
Aerolineas Argentinas,12,I,Buenos Aires,Martes,0
Grupo LATAM,2,I,Buenos Aires,Sabado,1
Grupo LATAM,11,N,Calama,Miercoles,0
Grupo LATAM,5,N,Calama,Viernes,0
Grupo LATAM,5,N,Antofagasta,Domingo,0
JetSmart SPA,11,N,Concepcion,Miercoles,0
Grupo LATAM,12,I,Nueva York,Viernes,0
Sky Airline,8,N,Calama,Miercoles,0
Grupo LATAM,10,I,Rosario,Domingo,1
Grupo LATAM,8,I,Mendoza,Viernes,0
Sky Airline,9,I,Mendoza,Viernes,0
Sky Airline,9,N,Temuco,Viernes,0
JetSmart SPA,9,N,La Serena,Sabado,0
Grupo LATAM,4,N,Puerto Montt,Jueves,0
Sky Airline,11,N,Arica,Domingo,0
JetSmart SPA,12,N,Puerto Montt,Viernes,1
Aerolineas Argentinas,2,I,Buenos Aires,Lunes,0
Avianca,10,I,Bogota,Miercoles,0
Grupo LATAM,5,N,Antofagasta,Jueves,0
Sky Airline,12,I,Buenos Aires,Jueves,0
Grupo LATAM,3,I,Nueva York,Jueves,1
JetSmart SPA,10,N,Calama,Lunes,0
Grupo LATAM,10,N,Isla de Pascua,Miercoles,1
Grupo LATAM,5,N,Puerto Montt,Lunes,0
Grupo LATAM,11,I,Nueva York,Miercoles,0
Grupo LATAM,1,I,Lima,Lunes,0
Grupo LATAM,10,N,La Serena,Sabado,0
Grupo LATAM,8,I,Bogota,Sabado,0
Grupo LATAM,9,N,Concepcion,Miercoles,0
Grupo LATAM,10,N,La Serena,Viernes,1
Sky Airline,1,N,La Serena,Jueves,0
Grupo LATAM,2,N,Isla de Pascua,Sabado,0
Grupo LATAM,11,N,Puerto Montt,Domingo,1
Sky Airline,4,N,Iquique,Lunes,0
Grupo LATAM,3,I,Florianapolis,Domingo,0
American Airlines,4,I,Dallas,Domingo,0
Grupo LATAM,12,I,Guayaquil,Sabado,1
Sky Airline,9,I,Lima,Jueves,0
Sky Airline,8,N,Calama,Miercoles,0
Copa Air,1,I,Ciudad de Panama,Miercoles,0
Grupo LATAM,12,I,Sao Paulo,Martes,0
Sky Airline,7,N,Arica,Sabado,0
United Airlines,11,I,Houston,Domingo,0
Sky Airline,2,N,Valdivia,Martes,0
Grupo LATAM,8,N,Iquique,Domingo,0
Grupo LATAM,4,N,La Serena,Domingo,0
Grupo LATAM,5,I,Ciudad de Mexico,Jueves,0
American Airlines,5,I,Dallas,Miercoles,0
Sky Airline,10,N,Valdivia,Viernes,1
Grupo LATAM,10,N,Temuco,Miercoles,1
Grupo LATAM,10,I,Sao Paulo,Martes,0
Copa Air,1,I,Ciudad de Panama,Martes,0
Grupo LATAM,1,N,Calama,Domingo,0
Avianca,4,I,Lima,Domingo,1
Grupo LATAM,1,I,Buenos Aires,Lunes,0
Sky Airline,12,N,Arica,Viernes,0
Grupo LATAM,5,I,Mendoza,Viernes,0
Grupo LATAM,6,N,Antofagasta,Jueves,0
Grupo LATAM,6,N,Puerto Montt,Viernes,0
Grupo LATAM,7,N,Antofagasta,Lunes,1
Grupo LATAM,11,I,Asuncion,Jueves,1
Sky Airline,10,N,Concepcion,Jueves,0
Sky Airline,6,N,Temuco,Sabado,0
Latin American Wings,3,I,Lima,Miercoles,1
Grupo LATAM,7,N,Puerto Montt,Viernes,0
Latin American Wings,4,N,Concepcion,Lunes,1
British Airways,6,I,Londres,Martes,1
Grupo LATAM,3,I,Sao Paulo,Domingo,1
Grupo LATAM,1,N,Punta Arenas,Sabado,0
Grupo LATAM,5,N,Calama,Viernes,0
Sky Airline,3,N,Concepcion,Jueves,1
Aerolineas Argentinas,2,I,Buenos Aires,Lunes,1
Grupo LATAM,1,N,Iquique,Domingo,0
Grupo LATAM,1,N,Calama,Domingo,0
Oceanair Linhas Aereas,11,I,Sao Paulo,Miercoles,0
Alitalia,8,I,Roma,Lunes,0
Grupo LATAM,6,I,Bogota,Sabado,0
Grupo LATAM,2,N,Iquique,Viernes,0
Aerolineas Argentinas,12,I,Buenos Aires,Miercoles,0
Grupo LATAM,8,I,Montevideo,Miercoles,0
Sky Airline,1,N,Calama,Domingo,0
Grupo LATAM,1,I,Lima,Lunes,0
Grupo LATAM,5,N,Calama,Domingo,0
Grupo LATAM,2,I,Lima,Lunes,0
Grupo LATAM,5,N,Temuco,Viernes,0
Sky Airline,4,N,Iquique,Miercoles,0
Grupo LATAM,7,N,Antofagasta,Jueves,0
Sky Airline,5,N,Arica,Miercoles,0
Grupo LATAM,6,I,Lima,Sabado,0
Grupo LATAM,5,N,Puerto Montt,Miercoles,0
Latin American Wings,6,I,Lima,Miercoles,0
Sky Airline,2,N,Copiapo,Lunes,0
Grupo LATAM,1,I,Buenos Aires,Sabado,0
Grupo LATAM,4,I,Buenos Aires,Sabado,0
Grupo LATAM,11,I,Sao Paulo,Miercoles,0
Grupo LATAM,6,I,Lima,Viernes,0
Grupo LATAM,3,I,Miami,Martes,0
Grupo LATAM,9,N,Calama,Viernes,0
Grupo LATAM,7,N,Antofagasta,Viernes,0
Sky Airline,6,N,Puerto Montt,Lunes,1
Sky Airline,12,I,Buenos Aires,Lunes,0
Alitalia,12,I,Roma,Sabado,0
Sky Airline,11,N,Copiapo,Miercoles,0
Lacsa,10,I,Lima,Sabado,0
Latin American Wings,8,I,Lima,Jueves,1
Grupo LATAM,8,N,Calama,Miercoles,1
Sky Airline,3,I,Lima,Domingo,0
Latin American Wings,7,N,Concepcion,Jueves,0
Grupo LATAM,5,N,Temuco,Viernes,0
Grupo LATAM,2,I,Sao Paulo,Viernes,0
Grupo LATAM,11,I,Sao Paulo,Domingo,0
Sky Airline,11,N,Iquique,Lunes,0
Sky Airline,1,N,Arica,Viernes,1
Sky Airline,12,N,Antofagasta,Jueves,1
Grupo LATAM,2,N,Osorno,Domingo,0
Grupo LATAM,8,N,Iquique,Miercoles,0
Grupo LATAM,4,N,Antofagasta,Martes,0
Grupo LATAM,7,I,Buenos Aires,Sabado,0
Grupo LATAM,7,N,Antofagasta,Lunes,0
Grupo LATAM,5,I,Sao Paulo,Domingo,1
Grupo LATAM,11,N,Calama,Jueves,0
Grupo LATAM,6,N,Antofagasta,Martes,0
Grupo LATAM,4,N,Antofagasta,Martes,0
Latin American Wings,12,I,Mendoza,Viernes,1
Grupo LATAM,2,N,La Serena,Lunes,0
Grupo LATAM,5,I,Mendoza,Viernes,0
Grupo LATAM,12,N,Temuco,Sabado,0
Grupo LATAM,8,N,Copiapo,Viernes,0
Sky Airline,11,I,Buenos Aires,Martes,0
Aerolineas Argentinas,6,I,Buenos Aires,Lunes,0
Sky Airline,1,N,Valdivia,Sabado,0
Latin American Wings,7,N,Puerto Montt,Martes,0
Sky Airline,6,N,Puerto Montt,Lunes,0
United Airlines,2,I,Houston,Sabado,0
Grupo LATAM,7,I,Rio de Janeiro,Miercoles,1
Aeromexico,1,I,Ciudad de Mexico,Miercoles,0
Grupo LATAM,7,N,Antofagasta,Lunes,0
Sky Airline,2,N,Temuco,Lunes,0
Grupo LATAM,11,N,Concepcion,Viernes,0
Air France,9,I,Paris,Lunes,0
Grupo LATAM,9,N,Castro (Chiloe),Domingo,1
American Airlines,5,I,Miami,Martes,0
Sky Airline,9,I,Montevideo,Lunes,1
JetSmart SPA,11,N,Calama,Lunes,0
Grupo LATAM,2,N,Calama,Lunes,0
Sky Airline,3,N,Punta Arenas,Sabado,0
Sky Airline,6,N,Punta Arenas,Lunes,0
Grupo LATAM,12,N,Antofagasta,Viernes,0
Grupo LATAM,9,N,La Serena,Domingo,0
Avianca,9,I,Bogota,Viernes,1
Grupo LATAM,7,I,Rio de Janeiro,Domingo,0
American Airlines,1,I,Dallas,Viernes,0
Copa Air,7,I,Ciudad de Panama,Miercoles,0
Grupo LATAM,9,I,Cordoba,Sabado,0
Grupo LATAM,11,N,Antofagasta,Martes,0
Sky Airline,5,N,Antofagasta,Miercoles,0
Grupo LATAM,1,N,Calama,Martes,0
Grupo LATAM,9,I,Montevideo,Martes,1
Aerolineas Argentinas,5,I,Buenos Aires,Lunes,0
JetSmart SPA,9,N,Calama,Miercoles,0
Grupo LATAM,2,I,Lima,Miercoles,1
Sky Airline,10,N,Concepcion,Martes,0
Grupo LATAM,8,N,La Serena,Lunes,0
Grupo LATAM,7,I,Mendoza,Miercoles,0
Sky Airline,7,I,Buenos Aires,Viernes,0
Sky Airline,5,N,Concepcion,Miercoles,0
Grupo LATAM,9,I,Buenos Aires,Viernes,0
Grupo LATAM,7,N,Antofagasta,Lunes,1
Grupo LATAM,12,N,Punta Arenas,Domingo,0
Iberia,3,I,Madrid,Jueves,0
Grupo LATAM,3,N,La Serena,Lunes,1
Grupo LATAM,1,N,Antofagasta,Viernes,0
Sky Airline,11,N,Iquique,Lunes,0
Grupo LATAM,6,N,Calama,Miercoles,0
Copa Air,7,I,Ciudad de Panama,Sabado,0
Latin American Wings,5,I,Lima,Miercoles,0
Sky Airline,8,I,Buenos Aires,Viernes,0
Sky Airline,7,N,Antofagasta,Jueves,1
Sky Airline,12,N,Calama,Viernes,0
Grupo LATAM,2,N,Antofagasta,Miercoles,0
Grupo LATAM,3,N,Antofagasta,Viernes,0
Grupo LATAM,12,I,Miami,Viernes,1
Grupo LATAM,8,I,Montevideo,Martes,0
Aerolineas Argentinas,12,I,Buenos Aires,Lunes,0
Avianca,11,I,Lima,Lunes,0
Copa Air,6,I,Ciudad de Panama,Miercoles,0
Aerolineas Argentinas,8,I,Buenos Aires,Lunes,1
Sky Airline,12,N,Iquique,Martes,1
Grupo LATAM,12,I,Madrid,Martes,0
Grupo LATAM,11,I,Melbourne,Lunes,0
Gol Trans,2,I,Sao Paulo,Martes,0
Grupo LATAM,3,I,Montevideo,Miercoles,0
Sky Airline,2,N,Copiapo,Sabado,0
Grupo LATAM,9,I,Guayaquil,Viernes,0
Grupo LATAM,4,N,Calama,Domingo,0
Latin American Wings,8,I,Lima,Jueves,0
Sky Airline,6,N,Calama,Miercoles,0
Aerolineas Argentinas,12,I,Buenos Aires,Sabado,0
Grupo LATAM,3,N,Iquique,Lunes,0
Sky Airline,12,N,Punta Arenas,Lunes,0
Sky Airline,3,N,Antofagasta,Martes,0
Grupo LATAM,8,I,Lima,Jueves,0
Aeromexico,12,I,Ciudad de Mexico,Viernes,0
JetSmart SPA,10,N,Temuco,Miercoles,1
Grupo LATAM,2,N,Temuco,Sabado,0
Grupo LATAM,12,N,Calama,Sabado,1
Grupo LATAM,8,N,Copiapo,Sabado,1
Sky Airline,3,N,Calama,Jueves,0
Sky Airline,6,N,Puerto Montt,Domingo,0
Grupo LATAM,8,N,Iquique,Martes,0
Sky Airline,5,I,Cordoba,Miercoles,0
Sky Airline,6,N,Puerto Montt,Martes,0
Sky Airline,4,N,Iquique,Sabado,0
Grupo LATAM,11,I,Lima,Lunes,0
